sample_id,study,condition,strain description,strain,culture type,evolved sample,base media,temperature (c),pH,carbon source (g/L),nitrogen source (g/L),electron acceptor,trace element mixture,supplement,antibiotic for selection,growth rate (1/hr),isolate type,additional details,biological replicates,doi,run_date,n_replicates
ros_tale__1_mid_250pq__2,ROS TALE,1_mid_250pq,Escherichia coli ERS.16.28,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__1_0_0pq__3,ROS TALE,1_0_0pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__1_0_0pq__4,ROS TALE,1_0_0pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__1_0_250pq__1,ROS TALE,1_0_250pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__1_0_250pq__2,ROS TALE,1_0_250pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__1_0_750pq__1,ROS TALE,1_0_750pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__1_0_750pq__2,ROS TALE,1_0_750pq,Escherichia coli ERS.16.32,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__1_1_0pq__1,ROS TALE,1_1_0pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_1_0pq__2,ROS TALE,1_1_0pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_1_250pq__1,ROS TALE,1_1_250pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_1_250pq__2,ROS TALE,1_1_250pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_1_750pq__1,ROS TALE,1_1_750pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_1_750pq__2,ROS TALE,1_1_750pq,Escherichia coli ERS.11.83,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_2_0pq__1,ROS TALE,1_2_0pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_2_0pq__2,ROS TALE,1_2_0pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_2_250pq__1,ROS TALE,1_2_250pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_2_250pq__2,ROS TALE,1_2_250pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__1_2_750pq__1,ROS TALE,1_2_750pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_2_750pq__2,ROS TALE,1_2_750pq,Escherichia coli ERS.13.87,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_3_0pq__1,ROS TALE,1_3_0pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_3_0pq__2,ROS TALE,1_3_0pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_3_250pq__1,ROS TALE,1_3_250pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__1_3_250pq__2,ROS TALE,1_3_250pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__1_3_250pq__3,ROS TALE,1_3_250pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__1_3_250pq__4,ROS TALE,1_3_250pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__1_3_750pq__1,ROS TALE,1_3_750pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_3_750pq__2,ROS TALE,1_3_750pq,Escherichia coli ERS.17.104,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__1_4_0pq__1,ROS TALE,1_4_0pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__1_4_0pq__2,ROS TALE,1_4_0pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__1_4_250pq__1,ROS TALE,1_4_250pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__1_4_250pq__2,ROS TALE,1_4_250pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__1_4_750pq__1,ROS TALE,1_4_750pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,4,doi.org/10.1101/749887 ,1/20/2020,4
ros_tale__1_4_750pq__2,ROS TALE,1_4_750pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,4,doi.org/10.1101/749887 ,1/20/2020,4
ros_tale__1_4_750pq__3,ROS TALE,1_4_750pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,SPRI development test 1.8:1,4,doi.org/10.1101/749887 ,1/21/2020,4
ros_tale__1_4_750pq__4,ROS TALE,1_4_750pq,Escherichia coli ERS.19.91,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,SPRI development test 1.8:1,4,doi.org/10.1101/749887 ,1/21/2020,4
ros_tale__2_mid_250pq__1,ROS TALE,2_mid_250pq,Escherichia coli ERS.18.24,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_mid_250pq__2,ROS TALE,2_mid_250pq,Escherichia coli ERS.18.24,GMOS,Batch,Midpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_0_0pq__1,ROS TALE,2_0_0pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_0_0pq__2,ROS TALE,2_0_0pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_0_250pq__1,ROS TALE,2_0_250pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_0_250pq__2,ROS TALE,2_0_250pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,11/28/2017,2
ros_tale__2_0_750pq__1,ROS TALE,2_0_750pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__2_0_750pq__2,ROS TALE,2_0_750pq,Escherichia coli ERS.18.36,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/20/2020,2
ros_tale__2_1_0pq__1,ROS TALE,2_1_0pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__2_1_0pq__2,ROS TALE,2_1_0pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__2_1_250pq__1,ROS TALE,2_1_250pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__2_1_250pq__2,ROS TALE,2_1_250pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__2_1_750pq__1,ROS TALE,2_1_750pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,3,doi.org/10.1101/749887 ,9/5/2019,3
ros_tale__2_1_750pq__2,ROS TALE,2_1_750pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,3,doi.org/10.1101/749887 ,1/21/2020,3
ros_tale__2_1_750pq__3,ROS TALE,2_1_750pq,Escherichia coli ERS.1.112,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,3,doi.org/10.1101/749887 ,1/21/2020,3
ros_tale__2_2_0pq__1,ROS TALE,2_2_0pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_2_0pq__2,ROS TALE,2_2_0pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_2_250pq__1,ROS TALE,2_2_250pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_2_250pq__2,ROS TALE,2_2_250pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_2_750pq__1,ROS TALE,2_2_750pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_2_750pq__2,ROS TALE,2_2_750pq,Escherichia coli ERS.25.111,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/5/2019,2
ros_tale__2_3_0pq__1,ROS TALE,2_3_0pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__2_3_0pq__2,ROS TALE,2_3_0pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__2_3_250pq__1,ROS TALE,2_3_250pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__2_3_250pq__2,ROS TALE,2_3_250pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__2_3_750pq__1,ROS TALE,2_3_750pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__2_3_750pq__2,ROS TALE,2_3_750pq,Escherichia coli ERS.29.119,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,10/30/2019,2
ros_tale__3_0_0pq__1,ROS TALE,3_0_0pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_0_0pq__2,ROS TALE,3_0_0pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_0_250pq__1,ROS TALE,3_0_250pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_0_250pq__2,ROS TALE,3_0_250pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_0_750pq__1,ROS TALE,3_0_750pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_0_750pq__2,ROS TALE,3_0_750pq,Escherichia coli ERS.14.27,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__3_1_0pq__1,ROS TALE,3_1_0pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__3_1_0pq__2,ROS TALE,3_1_0pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,1/21/2020,2
ros_tale__3_1_250pq__1,ROS TALE,3_1_250pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/23/2019,2
ros_tale__3_1_250pq__2,ROS TALE,3_1_250pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/23/2019,2
ros_tale__3_1_750pq__1,ROS TALE,3_1_750pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/23/2019,2
ros_tale__3_1_750pq__2,ROS TALE,3_1_750pq,Escherichia coli ERS.21.97,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/23/2019,2
ros_tale__3_2_0pq__1,ROS TALE,3_2_0pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__3_2_0pq__2,ROS TALE,3_2_0pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__3_2_0pq__3,ROS TALE,3_2_0pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__3_2_0pq__4,ROS TALE,3_2_0pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,1/16/2020,4
ros_tale__3_2_250pq__1,ROS TALE,3_2_250pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_2_250pq__2,ROS TALE,3_2_250pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_2_750pq__1,ROS TALE,3_2_750pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_2_750pq__2,ROS TALE,3_2_750pq,Escherichia coli ERS.3.76,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,8/26/2019,2
ros_tale__3_3_0pq__1,ROS TALE,3_3_0pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,9/20/2019,4
ros_tale__3_3_0pq__2,ROS TALE,3_3_0pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,Spacer development test,4,doi.org/10.1101/749887 ,9/20/2019,4
ros_tale__3_3_0pq__3,ROS TALE,3_3_0pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,1/21/2020,4
ros_tale__3_3_0pq__4,ROS TALE,3_3_0pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,4,doi.org/10.1101/749887 ,1/21/2020,4
ros_tale__3_3_250pq__1,ROS TALE,3_3_250pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_3_250pq__2,ROS TALE,3_3_250pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_3_750pq__1,ROS TALE,3_3_750pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_3_750pq__2,ROS TALE,3_3_750pq,Escherichia coli ERS.7.103,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_0pq__1,ROS TALE,3_4_0pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_0pq__2,ROS TALE,3_4_0pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,,,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_250pq__1,ROS TALE,3_4_250pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_250pq__2,ROS TALE,3_4_250pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (250uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_750pq__1,ROS TALE,3_4_750pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
ros_tale__3_4_750pq__2,ROS TALE,3_4_750pq,Escherichia coli ERS.9.77,GMOS,Batch,Endpoint,M9,37,7,glucose(4),NH4Cl(1),O2,,paraquat (750uM),,,Clonal,,2,doi.org/10.1101/749887 ,9/20/2019,2
pcoli__atASMT_325G__1,pColi,atASMT_325G,Escherichia coli K-12 MG1655 atASMT_325G,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.52856952,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__atASMT_325G__2,pColi,atASMT_325G,Escherichia coli K-12 MG1655 atASMT_325G,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.53230296,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__bpTDC__1,pColi,bpTDC,Escherichia coli K-12 MG1655 bpTDC,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.669764005,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__bpTDC__2,pColi,bpTDC,Escherichia coli K-12 MG1655 bpTDC,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.642599122,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__BRCA__1,pColi,BRCA,Escherichia coli K-12 MG1655 BRCA,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.581244023,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__BRCA__2,pColi,BRCA,Escherichia coli K-12 MG1655 BRCA,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.580883044,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",2,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__BRCActrl__1,pColi,BRCActrl,Escherichia coli K-12 MG1655 BRCA_optimized,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.540660396,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",4,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
pcoli__BRCActrl__2,pColi,BRCActrl,Escherichia coli K-12 MG1655 BRCA_optimized,MG1655,Batch,No,M9,37,7,glycerol(4),NH4Cl(1),O2,,rhamnose(0.1),Carbenicillin(50),0.539515622,Clonal,"Cells grown till OD 0.3, rhamnose added to 0.1g/L, and harvested after 2 hours",4,doi.org/10.1016/j.ymben.2020.07.002,3/8/2018,2
